,month,state,year,mean_pct,time
0,Apr,Alabama,2015-2016,45.13333333333333,2016-04-15
1,Apr,Alabama,2016-2017,43.644444444444446,2017-04-15
2,Apr,Alaska,2015-2016,39.72777777777779,2016-04-15
3,Apr,Alaska,2016-2017,39.55555555555556,2017-04-15
4,Apr,Arizona,2015-2016,42.00000000000001,2016-04-15
5,Apr,Arizona,2016-2017,40.922222222222224,2017-04-15
6,Apr,Arkansas,2015-2016,45.53333333333333,2016-04-15
7,Apr,Arkansas,2016-2017,45.66111111111112,2017-04-15
8,Apr,California,2015-2016,44.15555555555555,2016-04-15
9,Apr,California,2016-2017,48.62777777777777,2017-04-15
10,Apr,Colorado,2015-2016,49.577777777777776,2016-04-15
11,Apr,Colorado,2016-2017,50.91111111111112,2017-04-15
12,Apr,Connecticut,2015-2016,53.32222222222222,2016-04-15
13,Apr,Connecticut,2016-2017,53.611111111111114,2017-04-15
14,Apr,Delaware,2015-2016,51.361111111111114,2016-04-15
15,Apr,Delaware,2016-2017,51.8111111111111,2017-04-15
16,Apr,Florida,2015-2016,38.099999999999994,2016-04-15
17,Apr,Florida,2016-2017,41.74999999999999,2017-04-15
18,Apr,Georgia,2015-2016,40.62777777777777,2016-04-15
19,Apr,Georgia,2016-2017,43.044444444444444,2017-04-15
20,Apr,Hawaii,2015-2016,50.16111111111111,2016-04-15
21,Apr,Hawaii,2016-2017,49.26111111111111,2017-04-15
22,Apr,Idaho,2015-2016,39.37222222222223,2016-04-15
23,Apr,Idaho,2016-2017,39.70555555555555,2017-04-15
24,Apr,Illinois,2015-2016,43.42777777777778,2016-04-15
25,Apr,Illinois,2016-2017,41.75555555555556,2017-04-15
26,Apr,Indiana,2015-2016,43.18888888888889,2016-04-15
27,Apr,Indiana,2016-2017,43.066666666666656,2017-04-15
28,Apr,Iowa,2015-2016,50.90555555555556,2016-04-15
29,Apr,Iowa,2016-2017,51.01111111111111,2017-04-15
30,Apr,Kansas,2015-2016,44.29444444444445,2016-04-15
31,Apr,Kansas,2016-2017,44.31111111111111,2017-04-15
32,Apr,Kentucky,2015-2016,43.30555555555556,2016-04-15
33,Apr,Kentucky,2016-2017,44.71666666666666,2017-04-15
34,Apr,Louisiana,2015-2016,43.016666666666666,2016-04-15
35,Apr,Louisiana,2016-2017,41.7611111111111,2017-04-15
36,Apr,Maine,2015-2016,48.22222222222222,2016-04-15
37,Apr,Maine,2016-2017,49.68888888888888,2017-04-15
38,Apr,Maryland,2015-2016,52.82222222222222,2016-04-15
39,Apr,Maryland,2016-2017,53.80555555555554,2017-04-15
40,Apr,Massachusetts,2015-2016,52.12777777777777,2016-04-15
41,Apr,Massachusetts,2016-2017,51.72222222222222,2017-04-15
42,Apr,Michigan,2015-2016,42.605555555555554,2016-04-15
43,Apr,Michigan,2016-2017,43.627777777777766,2017-04-15
44,Apr,Minnesota,2015-2016,50.300000000000004,2016-04-15
45,Apr,Minnesota,2016-2017,51.516666666666666,2017-04-15
46,Apr,Mississippi,2015-2016,41.761111111111106,2016-04-15
47,Apr,Mississippi,2016-2017,40.916666666666664,2017-04-15
