,month,stats,race_or_age,state_or_region,value,year,value_flt,time
0,Jul,avg,≥6 months,Alabama,0.9,2015-2016,0.9,2015-07-15
5,Aug,avg,≥6 months,Alabama,2.8,2015-2016,2.8,2015-08-15
10,Sep,avg,≥6 months,Alabama,10.1,2015-2016,10.1,2015-09-15
15,Oct,avg,≥6 months,Alabama,27.0,2015-2016,27.0,2015-10-15
20,Nov,avg,≥6 months,Alabama,35.7,2015-2016,35.7,2015-11-15
25,Dec,avg,≥6 months,Alabama,38.3,2015-2016,38.3,2015-12-15
30,Jan,avg,≥6 months,Alabama,40.8,2015-2016,40.8,2016-01-15
35,Feb,avg,≥6 months,Alabama,42.7,2015-2016,42.7,2016-02-15
40,Mar,avg,≥6 months,Alabama,43.1,2015-2016,43.1,2016-03-15
45,Apr,avg,≥6 months,Alabama,43.6,2015-2016,43.6,2016-04-15
50,May,avg,≥6 months,Alabama,43.9,2015-2016,43.9,2016-05-15
995,Aug,avg,≥6 months,Alaska,3.2,2015-2016,3.2,2015-08-15
1000,Sep,avg,≥6 months,Alaska,10.0,2015-2016,10.0,2015-09-15
1005,Oct,avg,≥6 months,Alaska,25.3,2015-2016,25.3,2015-10-15
1010,Nov,avg,≥6 months,Alaska,31.7,2015-2016,31.7,2015-11-15
1015,Dec,avg,≥6 months,Alaska,33.8,2015-2016,33.8,2015-12-15
1020,Jan,avg,≥6 months,Alaska,35.6,2015-2016,35.6,2016-01-15
1025,Feb,avg,≥6 months,Alaska,36.6,2015-2016,36.6,2016-02-15
1030,Mar,avg,≥6 months,Alaska,37.6,2015-2016,37.6,2016-03-15
1035,Apr,avg,≥6 months,Alaska,37.9,2015-2016,37.9,2016-04-15
1040,May,avg,≥6 months,Alaska,37.9,2015-2016,37.9,2016-05-15
1980,Jul,avg,≥6 months,Arizona,0.7,2015-2016,0.7,2015-07-15
1985,Aug,avg,≥6 months,Arizona,2.4,2015-2016,2.4,2015-08-15
1990,Sep,avg,≥6 months,Arizona,9.2,2015-2016,9.2,2015-09-15
1995,Oct,avg,≥6 months,Arizona,24.8,2015-2016,24.8,2015-10-15
2000,Nov,avg,≥6 months,Arizona,33.0,2015-2016,33.0,2015-11-15
2005,Dec,avg,≥6 months,Arizona,36.0,2015-2016,36.0,2015-12-15
2010,Jan,avg,≥6 months,Arizona,38.2,2015-2016,38.2,2016-01-15
2015,Feb,avg,≥6 months,Arizona,39.9,2015-2016,39.9,2016-02-15
2020,Mar,avg,≥6 months,Arizona,40.7,2015-2016,40.7,2016-03-15
2025,Apr,avg,≥6 months,Arizona,41.2,2015-2016,41.2,2016-04-15
2030,May,avg,≥6 months,Arizona,41.5,2015-2016,41.5,2016-05-15
2970,Jul,avg,≥6 months,Arkansas,0.4,2015-2016,0.4,2015-07-15
2975,Aug,avg,≥6 months,Arkansas,1.7,2015-2016,1.7,2015-08-15
2980,Sep,avg,≥6 months,Arkansas,7.0,2015-2016,7.0,2015-09-15
2985,Oct,avg,≥6 months,Arkansas,27.9,2015-2016,27.9,2015-10-15
2990,Nov,avg,≥6 months,Arkansas,37.8,2015-2016,37.8,2015-11-15
2995,Dec,avg,≥6 months,Arkansas,40.0,2015-2016,40.0,2015-12-15
3000,Jan,avg,≥6 months,Arkansas,42.4,2015-2016,42.4,2016-01-15
3005,Feb,avg,≥6 months,Arkansas,44.0,2015-2016,44.0,2016-02-15
3010,Mar,avg,≥6 months,Arkansas,44.4,2015-2016,44.4,2016-03-15
3015,Apr,avg,≥6 months,Arkansas,44.9,2015-2016,44.9,2016-04-15
3020,May,avg,≥6 months,Arkansas,45.4,2015-2016,45.4,2016-05-15
3960,Jul,avg,≥6 months,California,0.8,2015-2016,0.8,2015-07-15
3965,Aug,avg,≥6 months,California,2.7,2015-2016,2.7,2015-08-15
