date,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2013-12-01,0,0,24,0,12,0,0,0,0,0,5,0,0,0,45,0,0,56,0,0,0,11,12,0,16,0,0,0,0,0,8,71,3,0,0,7,16,0,8,0,0,0,19,11,0,0,7,9,0,18,0
2013-12-08,0,0,0,0,8,0,0,74,0,0,4,0,0,0,0,18,0,36,0,0,12,0,12,19,0,0,0,0,0,0,0,0,9,8,0,0,0,14,0,0,0,52,0,9,0,0,7,11,0,0,0
2013-12-15,34,0,0,0,3,0,0,0,0,4,5,0,23,0,0,19,15,0,0,0,0,11,12,0,0,0,0,0,0,0,9,0,9,9,0,8,0,15,0,0,33,0,0,23,41,66,12,23,0,0,0
2013-12-22,21,0,26,0,16,0,0,0,0,4,0,0,0,25,29,0,16,99,64,0,15,14,22,0,0,75,100,0,34,0,20,0,4,11,91,14,23,0,11,0,37,0,71,20,0,0,10,0,0,50,0
2013-12-29,0,0,0,53,38,22,40,0,0,8,10,0,100,11,27,0,15,29,57,0,13,18,47,19,25,45,0,37,0,0,18,0,14,37,79,16,32,47,38,100,32,0,21,36,0,0,26,41,0,32,0
2014-01-05,15,0,73,47,86,34,19,0,74,17,15,0,22,52,22,19,29,93,51,0,24,11,30,74,0,73,0,0,31,0,22,0,21,21,0,19,40,71,0,46,29,0,77,72,39,0,26,67,41,20,0
2014-01-12,28,0,47,95,72,34,19,0,0,13,5,0,22,42,0,0,67,64,49,0,13,22,17,26,63,62,0,100,29,62,18,0,8,25,0,36,20,14,18,46,87,0,60,41,0,0,18,15,33,38,0
2014-01-19,14,0,22,0,41,67,18,0,0,24,9,0,22,21,0,0,26,31,0,0,0,11,35,18,25,31,0,65,0,62,8,72,22,24,70,8,18,50,17,0,28,0,50,22,38,60,22,25,31,18,0
2014-01-26,29,0,65,0,56,19,0,0,0,14,10,27,0,30,0,0,37,0,47,0,18,22,23,39,0,0,0,0,0,0,9,0,9,31,0,23,17,21,21,43,27,0,37,11,38,0,19,0,0,18,0
2014-02-02,0,0,72,0,34,14,19,0,0,6,0,0,0,11,23,0,0,0,48,0,0,11,12,21,0,20,0,0,0,0,18,0,17,0,73,24,0,15,9,0,28,0,0,6,0,0,15,0,0,19,0
2014-02-09,0,0,0,0,23,0,18,0,0,5,0,0,0,20,0,0,12,0,0,0,23,11,11,0,0,19,0,0,0,0,0,0,8,11,0,8,17,0,24,0,0,0,0,6,0,0,0,23,0,18,0
2014-02-16,0,0,22,0,13,13,0,0,0,4,5,0,0,0,0,0,15,32,0,25,0,11,23,0,0,39,0,32,0,0,34,0,6,31,0,7,70,0,8,0,0,0,0,7,0,0,0,20,0,0,0
2014-02-23,0,0,45,0,6,0,0,0,0,11,9,0,0,20,0,0,0,0,48,0,18,0,12,0,0,19,0,0,28,32,8,0,5,8,0,15,0,0,8,0,0,0,0,4,38,0,0,10,0,0,0
2014-03-02,0,0,45,0,4,0,18,0,0,7,5,0,0,10,22,19,0,34,0,0,0,11,24,19,0,0,0,0,0,0,8,73,3,11,0,8,0,0,16,0,0,0,0,0,0,0,15,0,0,0,0
2014-03-09,0,0,23,0,4,12,19,0,0,6,5,0,0,20,0,0,0,0,43,0,13,11,12,0,0,0,0,0,0,0,0,0,3,0,0,8,0,56,17,0,0,0,0,4,0,0,0,0,0,18,0
2014-03-16,0,0,0,0,6,12,20,0,0,0,0,0,0,10,0,0,0,0,43,0,12,11,12,20,0,0,0,30,0,0,0,0,8,8,0,8,0,28,17,0,0,0,0,0,0,0,8,0,0,0,0
2014-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,18,0,0,0,0,12,0,12,20,0,21,0,0,0,33,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,19,0
2014-03-30,0,0,23,0,6,0,19,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,12,20,0,0,0,30,0,0,0,0,9,12,0,8,0,20,8,0,0,0,0,4,0,0,7,0,0,34,0
2014-04-06,0,0,0,0,6,13,0,0,0,4,0,0,0,0,0,0,0,0,44,0,13,11,0,0,0,20,0,0,56,0,9,0,5,0,0,0,0,0,9,0,0,0,18,4,40,0,0,0,0,17,0
2014-04-13,0,0,0,0,0,0,0,0,0,4,0,0,0,21,34,0,0,0,0,0,0,23,12,20,26,0,41,0,0,0,0,0,7,0,0,0,0,19,9,0,29,0,0,4,0,0,0,0,0,0,0
2014-04-20,0,0,22,0,0,0,0,0,0,8,0,0,0,11,23,25,0,0,0,0,0,12,0,0,27,0,0,0,26,0,14,0,10,0,0,0,0,0,0,0,0,0,0,0,0,69,0,10,0,0,0
2014-04-27,0,0,20,0,6,0,0,0,0,0,0,0,0,15,0,0,0,0,36,0,0,0,24,0,0,21,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,18,4,0,0,7,0,0,0,0
2014-05-04,0,0,0,0,3,0,0,0,0,8,5,0,0,11,0,0,0,0,40,0,13,0,0,0,0,0,0,0,0,0,9,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2014-05-11,0,0,0,0,6,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,37,12,0,0,0,0,31,0,35,9,0,5,0,0,13,0,0,0,0,0,0,38,8,0,0,6,11,0,0,0
2014-05-18,0,0,24,0,3,14,0,0,0,6,0,0,0,11,0,0,17,0,0,0,0,13,0,0,0,0,0,0,31,0,10,0,4,0,0,0,0,0,0,0,32,65,0,6,0,0,0,12,0,0,0
2014-05-25,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,4,0,0,0,27,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2014-06-01,0,0,0,0,3,0,0,0,0,5,0,0,0,26,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
2014-06-08,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,22,0,0,0,7,12,0,0,0
2014-06-15,0,0,0,0,4,15,0,0,0,0,0,0,0,13,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0
2014-06-22,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,92,0,0,20,0,0,26,0,0,4,0,0,0,0,0,21,0
2014-06-29,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,9,0,0,0,0,0,0,0
2014-07-06,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,14,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,6,12,0,0,0
2014-07-13,18,0,0,0,3,0,0,0,0,0,0,0,0,0,31,0,18,0,0,0,0,14,14,0,39,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2014-07-20,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,44,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-27,0,0,0,0,4,0,0,0,0,4,5,0,0,13,0,31,0,0,0,0,0,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,0
2014-08-03,0,0,0,0,4,0,0,0,0,5,5,27,0,14,0,0,19,0,0,0,0,15,15,0,0,27,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-10,0,0,0,0,4,21,0,0,0,11,0,0,0,0,0,0,0,0,0,0,30,0,0,25,0,0,0,0,30,0,0,0,4,0,0,0,0,19,0,0,0,0,0,4,0,0,0,0,0,20,0
2014-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,84,4,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0
2014-08-24,0,0,0,52,0,0,28,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,55,0,0,4,0,0,0,0,0,0,0
2014-08-31,0,0,26,0,9,0,0,0,0,4,5,0,0,0,0,27,0,0,0,0,29,0,0,0,38,0,0,0,0,0,0,0,8,0,0,19,0,0,0,0,0,0,0,0,0,0,5,0,0,40,0
2014-09-07,0,0,25,49,7,14,0,0,0,12,0,0,25,29,0,26,17,30,50,0,28,19,40,46,0,46,0,0,0,0,10,0,0,9,80,9,0,19,20,0,0,0,0,4,0,0,0,10,0,0,0
2014-09-14,17,0,0,0,9,0,0,0,0,11,0,0,0,12,26,27,17,0,0,0,0,0,27,23,0,23,0,0,0,40,20,0,6,0,0,9,15,19,31,0,26,0,0,4,41,0,5,0,0,19,0
2014-09-21,17,0,0,51,14,0,0,41,0,0,10,0,0,12,0,0,0,0,0,0,14,0,0,23,0,24,0,0,30,0,0,81,0,0,0,14,0,19,0,0,0,0,0,13,41,0,12,10,44,19,0
2014-09-28,17,0,0,0,16,0,26,0,0,16,0,0,0,29,26,0,0,30,0,25,14,25,40,23,0,0,0,0,61,0,10,0,15,19,0,18,13,32,30,0,26,55,22,13,0,0,10,10,0,19,0
2014-10-05,18,0,79,0,14,14,0,0,0,12,10,0,25,17,0,0,17,0,0,26,0,25,33,24,0,0,0,0,68,0,10,81,9,14,80,9,0,15,21,49,27,0,22,11,0,0,10,0,0,38,0
2014-10-12,0,0,0,0,16,29,0,32,0,28,16,0,25,23,53,26,0,83,0,0,14,25,20,24,38,46,0,0,0,0,10,81,13,0,0,9,14,0,15,0,27,0,22,35,0,0,12,20,0,27,0
2014-10-19,0,0,0,0,15,0,26,0,100,14,10,0,25,12,0,0,18,0,51,0,0,25,40,23,38,24,0,69,74,0,35,0,13,33,0,18,0,30,10,0,28,55,0,9,42,0,7,0,0,27,0
2014-10-26,19,0,26,100,8,0,0,28,0,5,5,0,25,19,26,0,0,25,0,0,0,13,14,23,0,0,0,0,0,39,20,0,7,9,0,0,0,0,9,0,28,54,0,7,0,0,7,22,0,18,0
2014-11-02,0,0,26,0,13,0,26,28,0,7,0,0,25,37,25,0,19,0,54,0,0,13,14,22,36,24,0,0,0,0,10,0,9,0,74,9,15,0,9,0,0,0,57,17,0,0,5,11,0,18,0
2014-11-09,0,0,0,0,8,15,26,0,0,7,0,0,0,12,0,25,0,0,50,0,0,13,28,22,0,25,0,0,0,0,10,0,7,18,0,9,0,0,9,47,0,52,18,13,0,0,0,0,0,18,0
2014-11-16,0,0,0,0,5,15,26,0,0,5,0,0,25,0,0,0,0,0,48,0,14,0,29,0,73,0,0,0,38,39,10,0,7,0,0,0,17,0,9,0,0,0,0,9,0,0,0,11,0,0,0
2014-11-23,0,0,0,0,4,16,0,33,0,7,0,0,0,14,28,0,0,28,0,0,15,14,23,0,0,0,0,0,0,0,0,0,0,20,0,10,0,16,0,0,0,56,0,7,0,0,0,0,0,0,0
2014-11-30,17,0,0,0,14,29,25,0,0,7,5,0,0,12,50,0,0,0,0,0,14,31,14,23,71,24,0,0,35,0,29,79,10,13,0,9,0,30,16,46,26,0,35,6,0,0,9,10,0,18,0
2014-12-07,0,60,0,0,15,29,25,31,0,7,15,0,0,31,51,24,29,28,50,0,21,12,14,46,36,37,0,0,72,0,0,0,5,14,0,45,17,0,16,0,0,0,0,31,36,0,9,10,0,18,0
2014-12-14,20,0,54,0,4,38,0,0,0,8,44,0,0,54,54,0,0,29,56,0,15,13,15,94,0,26,45,33,0,0,0,0,7,24,0,24,0,0,17,0,44,0,20,16,0,0,10,21,47,19,0
2014-12-21,0,0,0,63,8,27,0,38,0,14,32,0,0,24,0,0,25,65,0,0,0,24,18,97,0,78,0,0,40,0,0,0,6,23,0,23,0,0,9,0,33,0,23,11,0,0,10,0,0,34,0
2014-12-28,32,0,56,0,22,25,33,72,0,8,0,32,0,30,63,29,46,44,0,0,17,0,33,79,41,100,0,0,37,0,23,0,19,26,0,21,16,26,26,0,30,0,73,20,59,0,11,34,0,32,0
2015-01-04,0,0,26,49,29,46,53,32,0,17,5,0,24,39,27,63,0,56,99,25,0,26,43,45,0,25,0,0,35,0,31,0,36,36,0,9,23,31,28,0,27,0,57,22,70,0,10,35,44,46,0
2015-01-11,27,0,51,47,25,0,26,31,0,12,5,30,0,13,27,37,20,27,54,0,36,26,58,34,0,0,0,32,71,40,36,0,10,27,0,36,15,31,9,0,27,0,19,15,0,0,10,45,42,47,0
2015-01-18,0,0,0,0,22,16,0,0,0,7,5,0,0,13,0,24,21,0,0,0,22,53,15,23,0,25,0,0,72,40,0,85,7,14,72,14,37,16,31,0,27,100,0,15,0,61,11,20,0,28,0
2015-01-25,18,0,48,0,7,0,0,32,0,5,10,29,0,0,27,24,20,0,0,0,14,26,14,46,0,24,0,0,0,0,10,78,10,18,73,18,29,16,17,45,40,0,56,17,0,0,6,10,0,0,0
2015-02-01,18,0,24,0,20,0,26,0,0,0,5,0,23,19,0,23,20,53,50,0,14,13,14,23,0,0,40,0,0,0,15,0,8,0,0,17,14,31,15,0,26,0,37,15,39,0,8,24,0,0,0
2015-02-08,18,0,25,0,14,15,0,31,100,0,0,0,0,13,0,0,0,26,49,0,14,19,0,0,0,0,0,25,35,39,20,79,6,9,0,9,0,16,11,0,26,0,0,8,0,0,13,10,0,0,0
2015-02-15,0,0,25,0,17,31,26,0,0,5,0,0,24,39,0,0,0,0,55,0,0,20,0,23,69,24,0,29,36,0,0,80,5,9,0,9,15,48,16,46,0,0,0,6,0,0,36,0,0,18,0
2015-02-22,18,0,0,0,6,15,0,0,0,4,20,0,0,13,0,24,0,26,0,0,0,26,29,0,33,0,0,30,34,0,10,0,10,0,0,17,0,0,0,0,0,0,16,4,0,0,33,20,0,18,0
2015-03-01,0,0,24,0,8,0,0,0,0,0,0,0,0,0,0,24,0,0,0,25,0,19,0,22,0,48,0,0,35,0,10,0,8,8,72,13,29,31,0,0,0,0,0,10,0,0,16,10,0,54,0
2015-03-08,18,0,0,0,18,16,0,0,0,7,10,0,0,13,0,50,0,28,0,0,15,13,14,23,0,52,0,0,0,0,0,0,3,9,0,14,0,16,8,0,0,0,0,5,0,0,18,0,0,19,0
2015-03-15,19,0,0,0,7,16,0,0,0,0,5,0,0,20,0,0,0,28,56,0,15,13,15,23,46,0,0,0,35,0,0,0,3,0,0,19,31,0,16,46,26,0,0,0,39,0,9,0,0,0,0
2015-03-22,0,0,28,0,8,20,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,25,0,0,0,0,0,0,11,0,7,0,0,10,0,0,9,0,0,0,18,10,44,0,0,0,0,0,0
2015-03-29,0,0,0,0,7,0,0,0,0,0,5,0,0,21,0,0,0,29,0,0,0,13,0,0,0,0,0,0,74,0,0,83,5,0,0,10,0,0,12,0,0,0,0,5,0,0,4,0,0,0,0
2015-04-05,0,0,0,0,9,17,0,0,0,5,0,0,0,20,0,0,0,0,0,0,0,0,16,23,0,25,0,0,0,0,11,0,5,14,0,9,0,16,12,0,0,0,17,4,0,0,16,0,0,37,0
