date,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2013-11-17,26,10,25,12,30,15,19,13,9,16,20,14,31,16,34,12,14,22,25,7,22,22,25,21,13,14,15,15,17,18,25,6,25,22,16,26,13,9,26,27,24,14,24,16,41,11,22,17,18,17,21
2013-11-24,23,0,19,25,18,10,15,7,9,13,18,24,18,11,34,7,13,23,23,15,14,19,25,15,27,15,16,12,41,25,18,19,18,15,13,13,11,8,15,22,7,8,16,13,34,0,16,12,22,20,24
2013-12-01,14,9,19,10,14,7,10,3,0,15,21,8,7,12,27,8,6,9,20,6,15,15,14,16,14,8,14,18,8,17,16,11,14,16,7,13,12,6,13,26,21,7,11,10,13,11,13,15,14,12,20
2013-12-08,15,10,15,10,16,15,12,12,27,13,16,0,15,12,4,9,11,16,19,7,10,13,13,16,6,11,15,7,24,12,13,11,17,16,15,12,13,6,16,0,15,7,15,14,11,22,11,13,7,15,0
2013-12-15,27,10,12,15,12,14,9,20,15,19,18,9,0,9,13,9,6,9,23,20,11,11,9,10,30,11,16,4,30,0,12,6,12,15,8,10,14,7,15,7,19,7,17,30,11,0,11,13,16,11,23
2013-12-22,32,12,11,10,12,11,13,14,9,14,13,19,10,13,13,5,11,14,28,25,7,10,21,7,21,19,36,9,26,0,13,21,16,11,10,9,12,6,16,0,22,18,20,31,14,0,11,15,9,15,26
2013-12-29,56,33,24,39,26,19,15,15,8,27,37,35,34,25,36,10,24,30,58,29,16,26,57,29,36,42,31,29,39,29,30,12,26,36,25,19,32,16,26,15,28,23,52,55,36,22,21,23,39,27,23
2014-01-05,77,41,34,44,79,50,15,21,14,54,41,35,53,31,25,37,24,52,75,34,30,36,64,32,54,48,65,30,85,12,34,56,29,40,27,37,50,54,42,62,46,14,87,100,49,11,29,92,37,28,21
2014-01-12,59,10,34,67,88,26,15,12,0,38,40,51,45,27,39,32,24,41,42,7,15,24,78,29,21,55,15,33,90,28,25,27,20,36,15,31,37,21,25,40,23,20,100,60,58,21,23,46,35,24,21
2014-01-19,17,29,31,40,47,13,7,7,0,47,19,16,15,21,30,17,19,33,22,13,14,19,47,18,33,25,22,11,64,11,11,11,17,22,15,25,37,20,28,13,25,13,48,28,21,21,18,24,22,29,42
2014-01-26,9,29,28,27,46,13,12,10,0,28,9,11,15,11,16,8,14,12,13,13,5,14,21,12,3,12,21,10,22,34,16,11,13,17,14,15,22,12,15,19,13,0,25,16,17,21,10,13,18,13,19
2014-02-02,3,0,12,21,28,6,6,4,0,13,8,37,17,7,14,5,3,7,13,20,6,11,9,1,14,6,16,7,27,18,11,0,9,7,8,7,8,3,8,13,14,7,6,8,0,11,12,8,7,12,0
2014-02-09,3,19,11,9,17,5,3,0,0,10,5,0,0,5,0,5,3,10,8,19,9,8,10,4,3,4,14,4,14,6,5,5,8,5,15,7,6,3,5,0,11,0,5,6,3,20,5,9,7,8,20
2014-02-16,3,10,12,7,10,8,9,5,0,8,5,8,0,5,0,0,1,4,9,21,4,8,6,5,7,4,14,18,9,0,4,6,5,7,0,6,3,2,8,13,5,7,3,4,11,10,9,5,7,4,20
2014-02-23,3,0,3,4,8,1,4,2,8,7,4,17,0,5,2,2,7,5,3,6,4,7,7,5,0,6,0,7,8,6,6,6,6,8,7,3,3,1,3,25,3,0,1,5,3,11,4,5,13,2,0
2014-03-02,0,19,5,4,5,2,1,0,0,4,3,0,7,3,2,5,4,2,11,7,5,4,3,2,4,7,0,3,4,6,4,0,4,4,0,2,0,3,3,6,0,13,1,3,7,0,5,5,13,6,0
2014-03-09,3,10,3,4,5,6,5,0,0,5,0,16,0,2,8,5,3,2,3,6,3,4,2,2,0,1,15,3,8,0,5,0,4,5,0,2,2,0,6,0,3,0,4,3,11,0,1,3,0,4,0
