date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2014-12-15,3.0,0.0,2.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,0.0,3.0,4.0,0.0,4.0,0.0,6.0,3.0,9.0,0.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
2015-01-15,389.0,4.0,157.0,381.0,365.0,80.0,35.0,23.0,353.0,514.0,500.0,33.0,499.0,513.0,182.0,196.0,510.0,401.0,240.0,40.0,107.0,515.0,143.0,377.0,169.0,23.0,180.0,345.0,24.0,53.0,46.0,500.0,513.0,25.0,500.0,519.0,145.0,500.0,42.0,512.0,27.0,512.0,500.0,51.0,20.0,520.0,263.0,31.0,499.0,76.0
2015-02-15,313.0,65.0,94.0,208.0,171.0,51.0,16.0,1.0,172.0,467.0,500.0,11.0,500.0,417.0,72.0,107.0,352.0,255.0,162.0,9.0,59.0,461.0,73.0,276.0,107.0,5.0,81.0,159.0,4.0,20.0,8.0,531.0,355.0,6.0,522.0,234.0,83.0,500.0,17.0,427.0,5.0,330.0,500.0,23.0,1.0,409.0,122.0,7.0,500.0,49.0
2015-03-15,194.0,58.0,61.0,85.0,140.0,36.0,11.0,2.0,117.0,264.0,500.0,7.0,536.0,382.0,71.0,82.0,271.0,173.0,91.0,10.0,32.0,497.0,61.0,158.0,109.0,8.0,71.0,135.0,0.0,5.0,7.0,377.0,272.0,9.0,494.0,129.0,63.0,526.0,6.0,297.0,7.0,187.0,500.0,12.0,4.0,321.0,114.0,6.0,533.0,33.0
2015-04-15,103.0,36.0,67.0,24.0,104.0,27.0,7.0,3.0,79.0,156.0,500.0,5.0,422.0,250.0,61.0,41.0,149.0,159.0,68.0,6.0,34.0,305.0,81.0,57.0,39.0,3.0,47.0,99.0,0.0,5.0,7.0,261.0,136.0,4.0,278.0,50.0,32.0,321.0,14.0,164.0,4.0,71.0,519.0,8.0,0.0,161.0,54.0,1.0,430.0,26.0
2015-05-15,20.0,4.0,3.0,6.0,16.0,7.0,0.0,0.0,12.0,29.0,500.0,0.0,38.0,46.0,12.0,4.0,29.0,19.0,19.0,1.0,11.0,47.0,9.0,11.0,5.0,3.0,5.0,15.0,0.0,1.0,1.0,53.0,24.0,1.0,42.0,2.0,8.0,74.0,0.0,28.0,1.0,17.0,428.0,2.0,0.0,37.0,16.0,0.0,37.0,7.0
2015-06-15,10.0,4.0,4.0,1.0,12.0,8.0,0.0,1.0,8.0,16.0,500.0,1.0,12.0,15.0,7.0,3.0,17.0,16.0,6.0,0.0,3.0,18.0,7.0,6.0,0.0,0.0,2.0,10.0,0.0,0.0,1.0,33.0,13.0,0.0,25.0,5.0,1.0,53.0,0.0,20.0,0.0,7.0,264.0,5.0,0.0,18.0,11.0,0.0,6.0,7.0
2015-07-15,7.0,0.0,6.0,0.0,8.0,2.0,0.0,0.0,9.0,13.0,500.0,0.0,13.0,19.0,3.0,1.0,17.0,2.0,6.0,0.0,2.0,17.0,2.0,1.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,14.0,7.0,0.0,23.0,1.0,1.0,28.0,0.0,14.0,0.0,6.0,169.0,0.0,0.0,17.0,7.0,0.0,12.0,2.0
2015-08-15,12.0,1.0,1.0,2.0,10.0,0.0,1.0,0.0,8.0,15.0,500.0,0.0,12.0,17.0,1.0,2.0,15.0,4.0,3.0,0.0,2.0,11.0,6.0,3.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,17.0,12.0,0.0,14.0,1.0,2.0,29.0,0.0,12.0,0.0,8.0,172.0,0.0,0.0,14.0,5.0,0.0,9.0,0.0
2015-09-15,14.0,1.0,11.0,6.0,20.0,4.0,3.0,0.0,16.0,22.0,500.0,0.0,38.0,49.0,8.0,6.0,40.0,6.0,8.0,0.0,5.0,27.0,3.0,7.0,2.0,0.0,6.0,19.0,1.0,3.0,1.0,62.0,26.0,1.0,40.0,12.0,6.0,92.0,3.0,24.0,0.0,22.0,391.0,3.0,0.0,41.0,21.0,0.0,26.0,4.0
